"id","title","description","link","image_link","price","availability","condition","google_product_category","product_type","","","","","","","","","","","","","","","",""
"202","Incenso Indiano Super Hit de Massala ( Pack de 3 Embalagens)","Pack de 3 embalagens de Incenso Indiano Super Hit de Massala da marca Nag Champa, cada caixa com 15 varetas. Fabricação artesanal indiana com matéria prima de primeiríssima qualidade.

O incenso Satya de Massala é composto por varetas de bambu, Massala, aglutinante, e essências diversas. Este é um dos melhores incensos de origem indiana caracterizado por ajudar a reduzir a negatividade e aumentar os aspectos positivos de todos os signos do zodíaco.
Este incenso à base de massala (macio e úmido) se parece com o Nag Champa, mas com um aroma diferente. Cada uma das varetas de incenso enrolados manualmente pela Shrinivas Sugandhalaya tem uma fragrância única, e evoca uma disposição subtilmente diferente, embora estejam todos relacionados.
","https://shop.wemystic.com.br/products/incenso-indiano-super-hit-de-massala-pack-de-3-embalagens","https://cdn.shopify.com/s/files/1/2436/4219/products/202_01_c1bfb9d2-7c22-44ba-a1f9-cc9a86dbf25b.jpg?v=1513264819","BRL 49,99","in stock","new","3686","Incenso em Varetas > Incenso Indiano de Massala > Super Hit","","","","","","","","","","","","","","","",""
"500","Essência de 7 Ervas","Essência de 7 Ervas em frasco de 15ml.

A Essência de Sete Ervas tem um aroma herbal e tem como função a elevação do padrão vibracional, tanto do ambiente como do próprio ser, servindo como agente mediúnico entre o plano humano e o plano do Astral.
Essa essência é constituída pelas seguintes ervas: Comigo-Ninguém-Pode, Espada-de-São-Jorge, Arruda, Alecrim, Guiné, Manjericão e Pimenta.","https://shop.wemystic.com.br/products/essencia-de-7-ervas","https://cdn.shopify.com/s/files/1/2436/4219/products/oleos_big__0012_Layer_3_grande.jpg","BRL 12,69","in stock","new","5847","Aromaterapia > Essências Líquidas para Queimar > 7 Ervas","","","","","","","","","","","","","","","",""
"1023","Incenso Indiano Agarbatti de Massala (Pack de 3 Embalagens)","Pack de 3 embalagens de Incenso Indiano Agarbatti de Massala da marca Nag Champa, cada caixa com 15 varetas. Fabricação artesanal indiana com matéria prima de primeiríssima qualidade.

O incenso Nag Champa de Massala é composto por varetas de bambu, essência de sândalo, aglutinante, óleo de flores de champac e com essências diversas.
É um dos melhores incensos que existem no mercado. Ele é feito a partir do óleo da flor da Champac, árvore nativa da Índia e do sudeste da Ásia. Possui uma fragrância floral única com toques almiscarados.
Tem a função de depurar o ambiente e a mente, os ingredientes naturais, ervas, resinas, condimentos e massalas são misturados na perfeição para criarem um aroma relaxante e meditativo, ótimo também para criar um clima romântico em ocasiões especiais.
Este incenso Nag Champa de Massala serve também para energizar e transmutar as energias do ambiente, purificar e conduzir as boas vibrações. Também perfuma o ambiente e renova a carga de energia negativa. Quando queimado incitam os órgãos olfativos e alinham nossos sentidos. Proporcionam sensação de bem estar, equilíbrio e purificação.","https://shop.wemystic.com.br/products/incenso-indiano-agarbatti-de-massala-pack-de-3-embalagens","https://cdn.shopify.com/s/files/1/2436/4219/products/1023_01_d71e11fc-58c0-4e9b-a168-a9c050976020.jpg?v=1513264813","BRL 49,99","in stock","new","3686","Incenso em Varetas > Incenso Indiano de Massala > Agarbatti","","","","","","","","","","","","","","","",""
"1676","Pó de Simpatia para Atração","Pó de Simpatia para Atração em embalagem de 50g.

O pó de simpatias da Atração serve para atrair fisicamente e sexualmente a pessoa desejada. 
Sempre que for utilizado você deverá mentalizar a sua força interior e concentração, para atrair energias positivas e fortalecer o vínculo energético para o sucesso. ","https://shop.wemystic.com.br/products/po-de-simpatia-para-atracao-sexual","https://cdn.shopify.com/s/files/1/2436/4219/products/1676_01_4c082a98-52aa-49b6-8fca-b57f504a8ed6.jpg?v=1513264815","BRL 7,79","in stock","new","5605","Rituais e Simpatias > Pó de Simpatia > Atração Sexual","","","","","","","","","","","","","","","",""
"1914","Pó de Simpatia de Purificação e Limpeza","Pó de Simpatia de Purificação e Limpeza em embalagem de 50g.

O pó de simpatias para Purificação e Limpeza é utilizado para limpar e purificar os ambientes.
Sempre que for utilizado você deverá mentalizar a sua força interior e concentração, para atrair energias positivas e fortalecer o vínculo energético para o sucesso.","https://shop.wemystic.com.br/products/po-de-simpatia-de-purificacao-e-limpeza","https://cdn.shopify.com/s/files/1/2436/4219/products/1914_01_379c1a43-2f77-45d9-a55f-308c3c5f684c.jpg?v=1513264816","BRL 7,79","in stock","new","5605","Rituais e Simpatias > Pó de Simpatia > Purificação e Limpeza","","","","","","","","","","","","","","","",""
"1935","Sal de Banho de Rosa","Sal de Banho de Rosa em embalagem de 500g. Esse é um poderoso sal aromatizado para o amor, a sedução e a sensibilidade.

Como usar:

- Dissolva o conteúdo da embalagem em cinco litros de água morna, após o banho despeje lentamente esse conteúdo no corpo (sempre do pescoço para baixo) em especial nas costas e nuca (locais mais visados em ataques espirituais).
- Enquanto isso vá mentalizando a limpeza fluídica que vai escorrendo junto com a água ralo abaixo.
- Não precisa enxaguar, seque-se normalmente depois do banho.
- Recomenda-se a utilização deste banho duas vezes por semana, mas você pode repetir quantas vezes desejar.
","https://shop.wemystic.com.br/products/sal-de-banho-de-rosa","https://cdn.shopify.com/s/files/1/2436/4219/products/sais-banho-ervas-package-07_grande.jpg","BRL 9,99","in stock","new","2522","Sais de Banho > Rosa","","","","","","","","","","","","","","","",""
"2149","Essência de Hortelã","Essência liquida para queimar com aroma a Hortelâ em frasco de 15ml.

A Essência de Hortelã é um podersos tonificante, descongestionante e ainda um forte aliado na quebra de feitiços.","https://shop.wemystic.com.br/products/essencia-hortela","https://cdn.shopify.com/s/files/1/2436/4219/products/2149_2.jpg?v=1531929439","BRL 12,69","in stock","new","5847","Aromaterapia > Essências Líquidas para Queimar > Hortelã","","","","","","","","","","","","","","","",""
"2166","Pó de Simpatia do Amor","Pó de Simpatia do Amor em embalagem de 50g.

O pó de simpatias do Amor serve para cativar, despertar, aumentar ou manter o amor entre duas pessoas. 
Sempre que for utilizado você deverá mentalizar a sua força interior e concentração, para atrair energias positivas e fortalecer o vínculo energético para o sucesso.","https://shop.wemystic.com.br/products/po-de-simpatia-do-amor","https://cdn.shopify.com/s/files/1/2436/4219/products/2166_01_9e41057b-c56d-4b5d-8565-55eb0e809ab4.jpg?v=1513264820","BRL 7,79","in stock","new","5605","Rituais e Simpatias > Pó de Simpatia > Amor","","","","","","","","","","","","","","","",""
"2168","Pó de Simpatia Contra Inveja e Mal Olhado","Pó de Simpatia Contra Inveja e Mau Olhado em embalagem de 50g.

O pó de simpatias Contra Inveja e Mau Olhado serve para eliminar qualquer tipo de inveja, cobiça e o mau olhado. É especialmente eficaz se for usado na bolsa num sachê.
Sempre que for utilizado você deverá mentalizar a sua força interior e concentração, para atrair energias positivas e fortalecer o vínculo energético para o sucesso.","https://shop.wemystic.com.br/products/po-de-simpatia-contra-inveja-e-mal-olhado","https://cdn.shopify.com/s/files/1/2436/4219/products/2168_01_a7a71104-c917-4615-9777-84c0c0652730.jpg?v=1513264821","BRL 7,79","in stock","new","5605","Rituais e Simpatias > Pó de Simpatia > Contra Inveja e Mal Olhado","","","","","","","","","","","","","","","",""
"2169","Pó de Simpatia Abre Caminho","Pó de Simpatia Abre Caminho em embalagem de 50g.

O pó de simpatias Abre Caminho é um poderoso pó em sachê que ajuda a abrir as “portas” dos caminhos que parecem estar fechados.
Sempre que for utilizado você deverá mentalizar a sua força interior e concentração, para atrair energias positivas e fortalecer o vínculo energético para o sucesso.","https://shop.wemystic.com.br/products/po-de-simpatia-abre-caminho","https://cdn.shopify.com/s/files/1/2436/4219/products/2169_01_f3595d89-d1db-4a7f-aea5-72c9aa8aef1f.jpg?v=1513264822","BRL 7,79","in stock","new","5605","Rituais e Simpatias > Pó de Simpatia > Abre Caminho","","","","","","","","","","","","","","","",""
